,participantID,externalID,condition,duration,finished,demographics_identify_1,demographics_identify_2,demographics_age_1,demographics_computer_experience_1,demographics_games_experience_1,demographics_video_editing_experience_1,demographics_video_comparison_experience_1,demographics_visualization_experience_1,demographics_visualization_comparison_experience_1,demographics_line_chart_1,demographics_bar_chart_1,demographics_scatter_plot_1,demographics_area_chart_1,demographics_pie_chart_1,demographics_box_and_whisker_plot_1,demographics_data_visualizations_1,demographics_cvd_1,demographics_cvd_type_1,demographics_vision_ability_1,demographics_vision_ability_type_1,demographics_duration,summary3_speed_1,summary3_speed_reason_1,summary3_accuracy_1,summary3_accuracy_reason_1,summary3_preference_1,summary3_preference_reason_1,summary3_comments_1,summary3_duration,nasa-tlx/smallmultiples3_slider_1,nasa-tlx/smallmultiples3_slider_2,nasa-tlx/smallmultiples3_slider_3,nasa-tlx/smallmultiples3_slider_4,nasa-tlx/smallmultiples3_slider_5,nasa-tlx/smallmultiples3_slider_6,nasa-tlx/smallmultiples3_slider_7,nasa-tlx/smallmultiples3_slider_8,nasa-tlx/smallmultiples3_slider_9,nasa-tlx/smallmultiples3_slider_10,nasa-tlx/smallmultiples3_duration,nasa-tlx/overlays3_slider_1,nasa-tlx/overlays3_slider_2,nasa-tlx/overlays3_slider_3,nasa-tlx/overlays3_slider_4,nasa-tlx/overlays3_slider_5,nasa-tlx/overlays3_slider_6,nasa-tlx/overlays3_slider_7,nasa-tlx/overlays3_slider_8,nasa-tlx/overlays3_slider_9,nasa-tlx/overlays3_slider_10,nasa-tlx/overlays3_duration,nasa-tlx/shadowMarkers3_slider_1,nasa-tlx/shadowMarkers3_slider_2,nasa-tlx/shadowMarkers3_slider_3,nasa-tlx/shadowMarkers3_slider_4,nasa-tlx/shadowMarkers3_slider_5,nasa-tlx/shadowMarkers3_slider_6,nasa-tlx/shadowMarkers3_slider_7,nasa-tlx/shadowMarkers3_slider_8,nasa-tlx/shadowMarkers3_slider_9,nasa-tlx/shadowMarkers3_slider_10,nasa-tlx/shadowMarkers3_duration
20,56,65c12143b109e591c2192ade,smallmultiples_shadowmarks_overlays,2318.09124,True,Woman,,39,25,4,0,0,0,0,,1,,,1,,0,No,,Yes,,79.551135,Overlays,It was better to compare them this way. ,Overlays,I could match each one together,Overlays,I preferred it because I can see who is releasing at the same time or not.,Thank you this was challenging.,88.784996,6,6,7,7,7,7,1,1,7,7,74.020535,7,7,7,6,7,6,6,3,5,6,24.379513,6,6,6,7,5,6,6,2,7,7,99.384433
21,57,64d5219df0415c9a7c609c19,overlays_smallmultiples_shadowmarks,2730.315819,True,Man,,49,45,12,2,1,2,2,1,1,,,1,,0,No,,Yes,,56.621597,Overlays,i was able to match of the replace points easier,Overlays,it was just easier to me see see when the ball came out of hand to compare,Overlays,it was the only one that i ever got 2 right on first try,"your program keep sayign was leaving the area , i was just going back and fourth to complete task",104.294892,7,6,3,6,7,6,6,2,7,6,39.629555,7,3,2,3,6,5,3,5,4,6,39.692388,5,3,3,4,5,5,4,3,5,5,30.074658
22,58,662047d9ef8599fb4c8a00d5,shadowmarks_smallmultiples_overlays,2219.290334,True,Woman,,32,60,20,0,0,2,2,1,1,1,,1,,0,No,,Yes,,262.726327,Shadow Marks,It was easier to see exactly where I should be looking based on the marker. ,Shadow Marks,It was easier to see exactly where I should be looking based on the marker. ,Shadow Marks,It was the least frustrating and most straightforward. ,,103.214887,5,5,3,5,5,5,5,3,6,5,22.788175,5,3,3,4,6,5,5,4,6,5,39.963254,5,3,3,2,5,3,2,5,5,5,29.756054
23,64,63254db937c17e8e9200fd54,shadowmarks_overlays_smallmultiples,2361.631331,True,Man,,28,40,4,0,0,0,0,1,1,1,,1,,0,No,,Yes,,129.30299,Overlays,can compare them easier ,Shadow Marks,gives a better reference ,Shadow Marks,gives a better experience ,,116.904422,6,1,3,5,7,3,2,5,7,4,40.878196,7,1,3,4,6,4,3,5,6,3,47.101163,6,1,6,5,5,6,4,7,7,7,57.702571
24,73,66a547d40cc3558ad9b51180,shadowmarks_overlays_smallmultiples,1341.380715,True,Woman,,48,25,15,0,0,0,0,1,1,1,,1,1,0,No,,Yes,,129.479604,Shadow Marks,It was easy to see where the reference ball was.,Overlays,It was easy to use and see.,Shadow Marks,It was the simplest and accurate for me.,,50.362128,6,3,5,5,7,6,5,5,6,7,19.848319,6,3,6,5,6,6,5,5,5,6,27.63238,5,2,5,3,7,6,5,5,6,7,30.539835
25,74,613d3cb06964f7c524a78ed0,smallmultiples_overlays_shadowmarks,2825.645849,True,Woman,,53,0,7,0,2,0,1,1,1,1,1,1,1,0,No,,Yes,,170.300285,Overlays,The Overlays allowed me to see how the movements of both pitchers synced to find the release point.,Overlays,I was able to compare the release of the ball for each player simultaneously.,Overlays,The Overlay technique was the easiest technique to use and to compare most accurately.,I did not know how to erase the shadow marks and when I tried to look up the information under the help menu the survey screen froze and I had to relaunch it.,226.077356,5,2,2,5,4,5,3,3,5,2,56.479932,3,3,2,3,3,1,1,6,2,1,47.261917,4,2,2,6,4,7,5,1,7,6,36.331141
26,81,65590b632aa62dd31aabb6e1,shadowmarks_smallmultiples_overlays,3773.042213,True,Woman,,34,45,10,0,0,0,0,,1,,1,1,,0,No,,Yes,,218.40599,Shadow Marks,It was quite easy to locate using the shadow mark than the overlay as the overlay looked very blurry ,Shadow Marks,It was easy to locate the close ball using the shadow mark as pointed out quickly the distance between them,Shadow Marks,"Simple, easy and not stressful",Very tasking!,218.233462,7,2,6,6,7,7,6,2,7,2,62.146295,7,1,6,3,7,7,6,2,6,1,49.574762,4,2,5,4,6,6,2,5,4,6,128.541843
27,82,66c738fbc6caec920d4a53b3,overlays_shadowmarks_smallmultiples,1572.731649,True,Man,,28,65,25,0,1,1,6,1,1,1,,1,,0,No,,Yes,,67.355766,Shadow Marks,It was easy to see exactly where the release was on each frame. ,Shadow Marks,It marked it right on. ,Shadow Marks,It was the best by far ,,45.292588,5,1,3,4,5,4,4,3,4,4,34.690257,5,1,3,6,5,5,4,3,6,5,40.446246,2,1,2,3,4,3,3,5,3,3,25.448655
28,83,6679944cf05ec8754d3ac92e,overlays_smallmultiples_shadowmarks,1644.497969,True,Woman,,30,45,0,0,0,0,0,,,,,,,0,No,,Yes,,49.592138,Shadow Marks,It made the most sense and least confusion so could move quickly,Shadow Marks,it was easy to compare the ball to the mark with no visual distortion,Shadow Marks,it was the easiest made the most sense and just worked best,,74.3651,7,2,2,3,6,6,5,3,5,2,31.461498,7,1,2,2,6,5,2,5,5,3,40.627115,5,1,3,2,5,3,2,6,3,1,30.225237
29,84,66c7986988a977284f12a684,overlays_smallmultiples_shadowmarks,3138.143455,True,Man,,47,52,2,0,1,0,0,1,1,,,1,,0,Yes,protan colour blind,Yes,,332.761926,Overlays,You were able to compare the different pitchers by superimposing the videos all at the same time and select or deselect them.,Shadow Marks,You could compare the other videos while seeing where you placed the shadow mark on the original video. Small Multiples was more difficult to assess.,Shadow Marks,You were able to be more precise in comparing the videos without having to pick and choose which overlays to look at.,Video system keeps crashing and asking to re-load.,185.394272,5,2,2,5,5,2,5,3,5,3,38.571786,2,2,2,4,4,1,2,5,5,5,99.17108,2,2,2,3,5,3,3,5,5,3,31.606124
