pID,condition,task,interaction,trial,attempt,dataset,category,videos,selectedVideos,correctVideos,difference1,difference2,loadTime,elapsedTime,totalCorrect,falseNegatives,falsePositives,incompleteTrial
48,2,3,smallMultiples,1,1,baseball,busch_stadium,adam_wainwright;andre_pallante;jamerson_taillon;paul_skenes;drew_verhagen;zack_wheeler;jake_woodford;bryce_elder;kevin_gausman;,jamerson_taillon;jake_woodford;,drew_verhagen;bryce_elder;,0.09709551997903923,0.10834615821523157,37857,89217,0,2,2,false
48,2,3,smallMultiples,1,2,baseball,busch_stadium,adam_wainwright;andre_pallante;jamerson_taillon;paul_skenes;drew_verhagen;zack_wheeler;jake_woodford;bryce_elder;kevin_gausman;,jamerson_taillon;bryce_elder;,drew_verhagen;bryce_elder;,0.09709551997903923,0.015657905351610702,37857,135818,1,1,1,false
48,2,3,smallMultiples,1,3,baseball,busch_stadium,adam_wainwright;andre_pallante;jamerson_taillon;paul_skenes;drew_verhagen;zack_wheeler;jake_woodford;bryce_elder;kevin_gausman;,bryce_elder;andre_pallante;,drew_verhagen;bryce_elder;,0.015657905351610702,0.06594641764341708,37857,186081,1,1,1,true
48,2,3,smallMultiples,2,1,baseball,dodger_stadium,emmet_sheehan;bobby_miller;daniel_hudson;landon_knack;max_muncy;noah_syndergaard;freddie_freeman;zac_gallen;patrick_bailey;,daniel_hudson;patrick_bailey;,freddie_freeman;patrick_bailey;,0.05974629695638052,0.016815469068687947,37922,80628,1,1,1,false
48,2,3,smallMultiples,2,2,baseball,dodger_stadium,emmet_sheehan;bobby_miller;daniel_hudson;landon_knack;max_muncy;noah_syndergaard;freddie_freeman;zac_gallen;patrick_bailey;,patrick_bailey;zac_gallen;,freddie_freeman;patrick_bailey;,0.016815469068687947,0.06558239092927304,37922,111725,1,1,1,false
48,2,3,smallMultiples,2,3,baseball,dodger_stadium,emmet_sheehan;bobby_miller;daniel_hudson;landon_knack;max_muncy;noah_syndergaard;freddie_freeman;zac_gallen;patrick_bailey;,patrick_bailey;zac_gallen;,freddie_freeman;patrick_bailey;,0.016815469068687947,0.06558239092927304,37922,147613,1,1,1,false
48,2,3,smallMultiples,2,4,baseball,dodger_stadium,emmet_sheehan;bobby_miller;daniel_hudson;landon_knack;max_muncy;noah_syndergaard;freddie_freeman;zac_gallen;patrick_bailey;,patrick_bailey;daniel_hudson;,freddie_freeman;patrick_bailey;,0.016815469068687947,0.05974629695638052,37922,174806,1,1,1,false
48,2,3,smallMultiples,2,5,baseball,dodger_stadium,emmet_sheehan;bobby_miller;daniel_hudson;landon_knack;max_muncy;noah_syndergaard;freddie_freeman;zac_gallen;patrick_bailey;,patrick_bailey;landon_knack;,freddie_freeman;patrick_bailey;,0.016815469068687947,0.06655200973674652,37922,213484,1,1,1,true
47,6,3,overlays,0,1,baseball,oakland_coliseum,paul_blackburn;austin_pruitt;domingo_acevedo;joe_boyle;adrian_martinez;ross_stripling;james_kaprielian;mason_miller;frankie_montas;,joe_boyle;adrian_martinez;,austin_pruitt;adrian_martinez;,0.09100137361600656,0.02044137960119129,33045,26966,1,1,1,false
47,6,3,overlays,0,2,baseball,oakland_coliseum,paul_blackburn;austin_pruitt;domingo_acevedo;joe_boyle;adrian_martinez;ross_stripling;james_kaprielian;mason_miller;frankie_montas;,adrian_martinez;mason_miller;,austin_pruitt;adrian_martinez;,0.02044137960119129,0.13433167906342866,33045,33589,1,1,1,false
47,6,3,overlays,0,3,baseball,oakland_coliseum,paul_blackburn;austin_pruitt;domingo_acevedo;joe_boyle;adrian_martinez;ross_stripling;james_kaprielian;mason_miller;frankie_montas;,adrian_martinez;frankie_montas;,austin_pruitt;adrian_martinez;,0.02044137960119129,0.08852259598543193,33045,36473,1,1,1,false
47,6,3,overlays,0,4,baseball,oakland_coliseum,paul_blackburn;austin_pruitt;domingo_acevedo;joe_boyle;adrian_martinez;ross_stripling;james_kaprielian;mason_miller;frankie_montas;,adrian_martinez;james_kaprielian;,austin_pruitt;adrian_martinez;,0.02044137960119129,0.18173651256695778,33045,44278,1,1,1,false
47,6,3,overlays,0,5,baseball,oakland_coliseum,paul_blackburn;austin_pruitt;domingo_acevedo;joe_boyle;adrian_martinez;ross_stripling;james_kaprielian;mason_miller;frankie_montas;,adrian_martinez;domingo_acevedo;,austin_pruitt;adrian_martinez;,0.02044137960119129,0.1113404239259039,33045,50595,1,1,1,false
47,6,3,overlays,0,6,baseball,oakland_coliseum,paul_blackburn;austin_pruitt;domingo_acevedo;joe_boyle;adrian_martinez;ross_stripling;james_kaprielian;mason_miller;frankie_montas;,adrian_martinez;austin_pruitt;,austin_pruitt;adrian_martinez;,0.02044137960119129,0.020350184274349942,33045,54942,2,0,0,false
47,6,3,overlays,1,1,baseball,oriole_park,bryce_miller;bryan_baker;cristian_javier;corbin_burnes;jordan_lyles;jon_gray;kyle_bradish;spenser_watkins;yennier_cano;,cristian_javier;jon_gray;,corbin_burnes;jon_gray;,0.07681106691096018,0.011994165248152926,32545,32693,1,1,1,false
47,6,3,overlays,1,2,baseball,oriole_park,bryce_miller;bryan_baker;cristian_javier;corbin_burnes;jordan_lyles;jon_gray;kyle_bradish;spenser_watkins;yennier_cano;,jon_gray;jordan_lyles;,corbin_burnes;jon_gray;,0.011994165248152926,0.058154707462079076,32545,35822,1,1,1,false
47,6,3,overlays,1,3,baseball,oriole_park,bryce_miller;bryan_baker;cristian_javier;corbin_burnes;jordan_lyles;jon_gray;kyle_bradish;spenser_watkins;yennier_cano;,jon_gray;spenser_watkins;,corbin_burnes;jon_gray;,0.011994165248152926,0.08544969280225644,32545,38429,1,1,1,false
47,6,3,overlays,1,4,baseball,oriole_park,bryce_miller;bryan_baker;cristian_javier;corbin_burnes;jordan_lyles;jon_gray;kyle_bradish;spenser_watkins;yennier_cano;,jon_gray;yennier_cano;,corbin_burnes;jon_gray;,0.011994165248152926,0.08970601986488977,32545,41459,1,1,1,false
47,6,3,overlays,1,5,baseball,oriole_park,bryce_miller;bryan_baker;cristian_javier;corbin_burnes;jordan_lyles;jon_gray;kyle_bradish;spenser_watkins;yennier_cano;,jon_gray;kyle_bradish;,corbin_burnes;jon_gray;,0.011994165248152926,0.06397944982570566,32545,44151,1,1,1,false
47,6,3,overlays,1,6,baseball,oriole_park,bryce_miller;bryan_baker;cristian_javier;corbin_burnes;jordan_lyles;jon_gray;kyle_bradish;spenser_watkins;yennier_cano;,jon_gray;corbin_burnes;,corbin_burnes;jon_gray;,0.011994165248152926,0.006735725647619532,32545,49562,2,0,0,false
47,6,3,overlays,2,1,baseball,rogers_centre,jordan_romano;drew_rasmussen;erik_swanson;kevin_gausman;marcus_stroman;tanner_bibee;trevor_richards;dakota_hudson;yimi_garcia;,erik_swanson;kevin_gausman;,trevor_richards;dakota_hudson;,0.07149965034879542,0.06207898195041539,32508,11482,0,2,2,false
