,participantID,externalID,condition,duration,finished,demographics_identify_1,demographics_identify_2,demographics_age_1,demographics_computer_experience_1,demographics_games_experience_1,demographics_video_editing_experience_1,demographics_video_comparison_experience_1,demographics_visualization_experience_1,demographics_visualization_comparison_experience_1,demographics_line_chart_1,demographics_bar_chart_1,demographics_scatter_plot_1,demographics_area_chart_1,demographics_pie_chart_1,demographics_box_and_whisker_plot_1,demographics_data_visualizations_1,demographics_cvd_1,demographics_cvd_type_1,demographics_vision_ability_1,demographics_vision_ability_type_1,demographics_duration,summary4_speed_1,summary4_speed_reason_1,summary4_accuracy_1,summary4_accuracy_reason_1,summary4_preference_1,summary4_preference_reason_1,summary4_comments_1,summary4_duration,nasa-tlx/smallmultiples4_slider_1,nasa-tlx/smallmultiples4_slider_2,nasa-tlx/smallmultiples4_slider_3,nasa-tlx/smallmultiples4_slider_4,nasa-tlx/smallmultiples4_slider_5,nasa-tlx/smallmultiples4_slider_6,nasa-tlx/smallmultiples4_slider_7,nasa-tlx/smallmultiples4_slider_8,nasa-tlx/smallmultiples4_slider_9,nasa-tlx/smallmultiples4_slider_10,nasa-tlx/smallmultiples4_duration,nasa-tlx/overlays4_slider_1,nasa-tlx/overlays4_slider_2,nasa-tlx/overlays4_slider_3,nasa-tlx/overlays4_slider_4,nasa-tlx/overlays4_slider_5,nasa-tlx/overlays4_slider_6,nasa-tlx/overlays4_slider_7,nasa-tlx/overlays4_slider_8,nasa-tlx/overlays4_slider_9,nasa-tlx/overlays4_slider_10,nasa-tlx/overlays4_duration,nasa-tlx/shadowmarkers4_slider_1,nasa-tlx/shadowmarkers4_slider_2,nasa-tlx/shadowmarkers4_slider_3,nasa-tlx/shadowmarkers4_slider_4,nasa-tlx/shadowmarkers4_slider_5,nasa-tlx/shadowmarkers4_slider_6,nasa-tlx/shadowmarkers4_slider_7,nasa-tlx/shadowmarkers4_slider_8,nasa-tlx/shadowmarkers4_slider_9,nasa-tlx/shadowmarkers4_slider_10,nasa-tlx/shadowmarkers4_duration
11,37,66ba25c663339ec34a52ba7f,shadowmarks_smallmultiples_overlays,920.323353,True,Man,,25,40,4,0,0,0,0,1,1,1,,1,,0,No,,Yes,,71.013034,Shadow Marks,It was easy to scan all of the plots together to determine which plot had the highest outlier,Shadow Marks,With shadow marks I could see the plots all at once. There was no need to double check another plot once I made my choice,Shadow Marks,It was the easiest to use and gave me the most confidence in my answers,,151.402955,6,1,6,6,6,3,2,2,6,2,40.148193,2,1,6,1,2,2,1,7,2,5,32.929407,5,1,6,1,6,1,1,7,5,5,40.304744
12,39,5ea38a4693216f1a0310f906,overlays_shadowmarks_smallmultiples,1621.045386,True,Man,,43,20,2,1,0,1,1,1,1,,,1,,0,No,,Yes,,187.446807,Shadow Marks,It very quickly enabled to identify the highest outlier,Shadow Marks,So clear with the lines,Shadow Marks,Easy and accurate,,109.480154,3,1,2,1,5,1,4,7,5,1,37.92403,5,1,4,1,4,1,1,7,5,3,61.589823,1,1,2,1,1,1,1,7,1,1,32.748931
13,41,5f666a0ad2f324242a45da71,shadowmarks_smallmultiples_overlays,1811.834841,True,Woman,,37,48,30,10,12,5,5,1,1,1,1,1,1,0,No,,Yes,,118.669625,Overlays,"I could compare them not side by side, but on top of one another to find a more accurate response.",Overlays,"I could compare them not side by side, but on top of one another to find a more accurate response.",Overlays,"I could compare them not side by side, but on top of one another to find a more accurate response. For this reason, I prefer it the most.",n/a,76.152936,6,1,1,3,5,5,3,5,5,3,30.508352,5,1,1,6,5,5,3,5,5,3,22.749577,7,1,1,3,5,5,5,5,6,5,39.683622
14,46,66b4cb7fe99b0a00470a67cb,smallmultiples_shadowmarks_overlays,924.994979,True,Man,,28,10,3,0,0,1,1,1,1,1,1,1,1,0,No,,Yes,,34.466713,Shadow Marks,The precision of the red line on all of the plots at once made it easier to compare and identify if there were any higher outliers at a glance.,Shadow Marks,The thinness of the red line allowed for an exact height comparison of the outliers.,Shadow Marks,"This technique was the most efficient, simple to use, and precise of the three. ","Initially, I was unable to complete this task in Google Chrome as it would not register as fullscreen. I had to switch to Mozilla Firefox.",92.722777,5,1,3,3,5,4,5,4,4,2,22.723542,2,1,1,2,5,2,1,7,2,2,24.47748,2,1,1,1,1,1,1,6,1,1,14.635823
15,47,6682a292ff517ff8e80074fd,overlays_shadowmarks_smallmultiples,1062.541909,True,Man,,36,40,15,2,1,2,3,1,1,1,1,1,,0,No,,Yes,,60.760445,Small Multiples,the datapoints seemed to stand out more than the other techniques,Shadow Marks,the shadow marks gave me the most precise measurements,Shadow Marks,"once i understood how to use the shadow marks efficiently, it became the most precise and relatively fast way of finding the largest outlier",thanks,118.257398,2,3,5,3,3,2,5,3,5,3,23.498913,6,3,5,2,5,3,3,5,5,5,30.179814,5,6,6,3,6,5,3,5,5,5,154.709815
16,48,5c4509df1ddd660001ca142a,shadowmarks_smallmultiples_overlays,1337.860294,True,Man,,26,28,6,0,0,0,0,1,1,1,1,1,,0,No,,Yes,,123.37445,Shadow Marks,It allowed me to quickly find the highest outlier in a particular graph.,Shadow Marks,Allowed me to quickly compare the heights of outliers on opposite sides of the graph.,Shadow Marks,"It had the simplest method to it, didn't need to put too much effort into figuring out the answer or learning how to use the tool.",,294.618532,5,5,3,6,5,6,6,2,5,4,33.232154,5,1,3,3,5,1,2,5,3,2,31.541135,3,1,4,3,3,3,1,5,2,2,36.940166
17,52,65464fec47eeb23dde2b5c56,overlays_smallmultiples_shadowmarks,1273.991637,True,Man,,41,20,10,0,0,0,0,1,1,,,1,,0,No,,Yes,,74.20781,Shadow Marks,I could compare the height more accurately across all images,Shadow Marks,I could see which marks were better,Shadow Marks,it was quicker,the dots were very light and small so they were hard to see properly,160.581514,5,5,3,3,5,5,6,3,5,5,24.623344,5,3,3,5,5,5,3,4,5,3,38.114151,4,4,3,5,4,4,3,5,4,2,36.256684
18,54,6666ff2124231892e708e7f7,shadowmarks_overlays_smallmultiples,1436.434038,True,Woman,,47,10,0,0,0,0,0,,1,1,,1,,0,No,,Yes,,72.016608,Overlays,Because I could quickly directly compare and eliminate options to narrow it down,Overlays,Because I could compare them directly to each other,Overlays,Because it was the easiest and most efficient,,106.012526,5,2,4,5,5,4,6,2,5,4,45.705926,4,3,4,1,3,3,1,7,2,2,45.844393,6,3,5,5,5,5,3,5,5,3,66.152633
19,56,65aebd911489344139045cdf,overlays_smallmultiples_shadowmarks,727.747285,True,Man,,42,50,0,0,1,0,0,1,1,1,1,1,,0,No,,Yes,,46.253362,Shadow Marks,Comparison of all images simultaneously,Shadow Marks,Comparison of all images simultaneously,Shadow Marks,Comparison of all images simultaneously,,26.091083,2,1,2,4,3,2,2,4,3,1,30.888253,4,1,3,4,4,3,2,4,4,3,47.670001,1,1,1,3,2,1,1,6,2,2,24.089956
20,58,66b0cbe3c2ffb1aee0cdc182,smallmultiples_overlays_shadowmarks,905.813358,True,Man,,42,40,16,0,0,0,0,,1,1,,1,,0,No,,Yes,,76.571002,Shadow Marks,It allowed a direct and real time comparison across all images.,Shadow Marks,The lines allowed me to see if any marks were higher or lower.,Shadow Marks,It was the easiest for comparisons.,,57.94892,6,1,7,7,6,7,6,1,6,6,37.804752,7,1,7,7,7,7,7,1,7,6,36.081189,7,1,7,5,5,7,5,2,6,6,22.10842
21,59,5c0873675b32d500012e3f2c,shadowmarks_overlays_smallmultiples,2044.879666,True,Woman,,62,100,1,0,0,0,0,1,1,,,1,,0,No,,Yes,,86.75691,Shadow Marks,Because it was easier to see any higher outliers,Shadow Marks,Because I didn't have to guess,Shadow Marks,"For me, this way was the easiest to complete the task.","It would have helped if the outliers were brighter,",213.969255,5,2,4,5,5,5,6,3,6,2,49.929395,4,1,3,5,3,5,6,3,5,4,53.427094,4,1,4,3,3,3,3,5,4,2,60.874005
22,60,666725100f113c234d7c1550,overlays_shadowmarks_smallmultiples,823.185436,True,Woman,,21,15,2,1,0,1,0,1,1,1,,1,1,0,No,,Yes,,100.653407,Shadow Marks,It was a lot easier to see what was above the line and which ones were not.,Shadow Marks,It showed the same line on each one which was easier to see with the naked eye.,Shadow Marks,It was a lot easier to see and understand than the other ones.,,78.76176,5,5,5,2,3,5,3,5,3,3,31.394799,2,2,5,3,3,5,5,4,3,3,52.688061,2,3,5,2,2,2,3,3,3,2,33.89475
23,61,5ba91985c4da2d00015d4a11,shadowmarks_overlays_smallmultiples,814.009059,True,Man,,28,40,15,0,0,0,0,1,1,1,,1,,0,No,,Yes,,49.927907,Small Multiples,"It felt like it was quite easy without the help of extra tools to work these out, however I do feel like these examples were a bit more spaced out.",Shadow Marks,"It allowed me to specifically see at the same time across each box where the dots were specifically, and looking at it in a clear fashion allowed me to get through it quicker.",Shadow Marks,Just more convenient and allowed me to work with accuracy to find the highest outlier.,,131.151109,3,3,2,2,2,2,2,5,3,3,32.379872,7,2,2,7,7,6,7,1,7,7,29.545237,5,2,2,5,5,5,3,5,4,2,33.578392
24,63,668ffe3954eed098b2329f45,smallmultiples_overlays_shadowmarks,985.188562,True,Woman,,21,20,12,0,0,5,0,1,1,,,1,,0,No,,Yes,,46.361802,Shadow Marks,I was allowed to see the guide lines in all of the videos.,Shadow Marks,"Since I was able to see all videos with the guidlines, it made it easier for me to see.",Shadow Marks,"It made it easier to see what I was doing, unlike the other two.","It was a little hard, but everything went well.",111.978625,6,3,5,5,5,5,4,3,5,4,33.574204,6,3,5,6,6,6,6,2,6,6,25.271952,2,3,2,1,3,5,1,7,1,2,24.234393
25,64,6668a3cb0b8fde2fe0b7e7e1,smallmultiples_shadowmarks_overlays,1777.955743,True,Man,,25,2,1,0,0,3,2,1,1,1,1,1,,0,No,,Yes,,65.831456,Overlays,"Allowed me to more directly compare different scatterplots, which led to fewer incorrect guesses and confusion",Overlays,Putting the scatterplots right with each other allowed less noise to make it into my evaluation,Overlays,"Led to more correct guesses, and even when they were wrong I had a good idea of which ones were likely right instead. With the others I at times had to guess more than a few times which was frustrating",,353.615607,5,2,2,5,4,6,5,3,5,4,90.160887,5,4,4,3,5,3,3,5,5,3,53.160203,5,3,3,5,5,7,4,2,5,3,32.270708
26,70,6126441c9c8ec5ea6230ba17,overlays_smallmultiples_shadowmarks,1289.718585,True,Woman,,36,42,1,-2,0,-1,0,1,1,,,1,,0,No,,Yes,,67.002053,Shadow Marks,It gave me a fixed point to eliminate squares until i found the highest,Shadow Marks,same as above,Shadow Marks,it was more visual and easier yo use,"no, thank you",65.424191,5,3,6,7,7,7,7,2,7,2,38.674542,6,3,3,2,6,6,6,3,6,6,26.170038,3,3,3,3,5,5,3,5,5,5,22.27847
27,71,667aede306374173cad1947a,shadowmarks_smallmultiples_overlays,641.687823,True,Non-binary,,22,40,20,0,0,0,0,1,1,1,,1,,0,No,,Yes,,40.001957,Overlays,Seeing the scatterplots in the same place allowed me to compare them faster as well as eliminate the wrong ones faster,Overlays,I was able to compare the scatterplots directly instead of having to look back and forth at them,Overlays,It was the easiest to use,,62.912466,3,1,3,5,3,5,6,3,5,3,23.170244,3,1,3,1,4,1,1,6,3,2,19.350887,5,1,2,3,4,3,3,5,5,6,34.700072
28,72,655a47f5d1745c8bd8933a63,smallmultiples_shadowmarks_overlays,998.318358,True,Woman,,34,45,0,0,0,5,0,1,1,1,,1,,0,No,,Yes,,86.015074,Small Multiples,simplest,Small Multiples,simplest,Small Multiples,simplest,,48.683458,6,4,4,6,5,5,6,2,5,1,33.82863,6,3,5,7,7,6,7,2,6,5,25.398625,5,2,5,6,5,6,7,2,6,5,24.956019
29,74,609911e00dd4843e39cb88ac,shadowmarks_overlays_smallmultiples,1877.551166,True,Man,,28,40,10,0,0,15,10,1,1,1,1,1,1,0,No,,Yes,,64.097325,Shadow Marks,It was simple to compare this plot with the others as you had a line as the source to compare with the others. Made it visually easier,Shadow Marks,Shadow Marks again provided me with a line an you can't really guess with a marker pointing on the plot compared to the other 2 methods,Small Multiples,"It makes the most sense, and i am a visual learner, so this was best use case for me in this scenario",N/A,165.048202,7,2,5,6,7,6,5,2,7,6,43.265229,6,2,5,4,6,5,1,3,5,4,39.20014,5,2,5,4,5,2,2,4,3,3,49.252501
