"","pID","condition","trial","interaction","attempt","elapsedTime","selectedVideos","videos"
"91",15,2,1,"smallMultiples",2,41049,"scatterplot-82;","scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;"
"92",15,2,1,"smallMultiples",3,47717,"scatterplot-85;","scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;"
"93",15,2,2,"overlays",1,63343,"scatterplot-92;","scatterplot-40;scatterplot-44;scatterplot-48;scatterplot-24;scatterplot-17;scatterplot-92;scatterplot-27;scatterplot-58;scatterplot-45;"
"94",15,2,2,"overlays",2,70498,"scatterplot-24;","scatterplot-40;scatterplot-44;scatterplot-48;scatterplot-24;scatterplot-17;scatterplot-92;scatterplot-27;scatterplot-58;scatterplot-45;"
"95",15,2,2,"overlays",3,75496,"scatterplot-17;","scatterplot-40;scatterplot-44;scatterplot-48;scatterplot-24;scatterplot-17;scatterplot-92;scatterplot-27;scatterplot-58;scatterplot-45;"
"96",15,2,2,"overlays",4,85468,"scatterplot-40;","scatterplot-40;scatterplot-44;scatterplot-48;scatterplot-24;scatterplot-17;scatterplot-92;scatterplot-27;scatterplot-58;scatterplot-45;"
"97",15,2,2,"shadowMarkers",1,43998,"scatterplot-24;","scatterplot-23;scatterplot-60;scatterplot-83;scatterplot-56;scatterplot-41;scatterplot-24;scatterplot-25;scatterplot-0;scatterplot-58;"
"98",15,2,2,"smallMultiples",1,33265,"scatterplot-75;","scatterplot-39;scatterplot-75;scatterplot-32;scatterplot-38;scatterplot-47;scatterplot-30;scatterplot-53;scatterplot-1;scatterplot-95;"
"99",15,2,2,"smallMultiples",2,38870,"scatterplot-32;","scatterplot-39;scatterplot-75;scatterplot-32;scatterplot-38;scatterplot-47;scatterplot-30;scatterplot-53;scatterplot-1;scatterplot-95;"
"100",15,2,2,"smallMultiples",3,48877,"scatterplot-30;","scatterplot-39;scatterplot-75;scatterplot-32;scatterplot-38;scatterplot-47;scatterplot-30;scatterplot-53;scatterplot-1;scatterplot-95;"
