pID,condition,interaction,trial,attempt,selectedVideos,videos,correctVideos,difference1
18,3,shadowMarkers,1,1,scatterplot-16;,"['scatterplot-68', 'scatterplot-57', 'scatterplot-40', 'scatterplot-92', 'scatterplot-58', 'scatterplot-16', 'scatterplot-32', 'scatterplot-47', 'scatterplot-38']",scatterplot-16,0
18,3,shadowMarkers,2,1,scatterplot-16;,"['scatterplot-12', 'scatterplot-47', 'scatterplot-23', 'scatterplot-68', 'scatterplot-42', 'scatterplot-81', 'scatterplot-89', 'scatterplot-87', 'scatterplot-16']",scatterplot-16,0
18,3,smallMultiples,0,1,scatterplot-5;,"['scatterplot-0', 'scatterplot-1', 'scatterplot-2', 'scatterplot-4', 'scatterplot-5', 'scatterplot-6', 'scatterplot-7', 'scatterplot-8', 'scatterplot-9']",scatterplot-5,0
18,3,smallMultiples,1,1,scatterplot-12;,"['scatterplot-30', 'scatterplot-61', 'scatterplot-20', 'scatterplot-86', 'scatterplot-64', 'scatterplot-28', 'scatterplot-60', 'scatterplot-40', 'scatterplot-12']",scatterplot-86,19.660539999999997
18,3,smallMultiples,1,10,scatterplot-86;,"['scatterplot-30', 'scatterplot-61', 'scatterplot-20', 'scatterplot-86', 'scatterplot-64', 'scatterplot-28', 'scatterplot-60', 'scatterplot-40', 'scatterplot-12']",scatterplot-86,0
18,3,smallMultiples,1,2,scatterplot-30;,"['scatterplot-30', 'scatterplot-61', 'scatterplot-20', 'scatterplot-86', 'scatterplot-64', 'scatterplot-28', 'scatterplot-60', 'scatterplot-40', 'scatterplot-12']",scatterplot-86,10.63166000000001
18,3,smallMultiples,1,3,scatterplot-20;,"['scatterplot-30', 'scatterplot-61', 'scatterplot-20', 'scatterplot-86', 'scatterplot-64', 'scatterplot-28', 'scatterplot-60', 'scatterplot-40', 'scatterplot-12']",scatterplot-86,14.458470000000005
18,3,smallMultiples,1,4,scatterplot-60;,"['scatterplot-30', 'scatterplot-61', 'scatterplot-20', 'scatterplot-86', 'scatterplot-64', 'scatterplot-28', 'scatterplot-60', 'scatterplot-40', 'scatterplot-12']",scatterplot-86,6.842500000000001
18,3,smallMultiples,1,5,scatterplot-28;,"['scatterplot-30', 'scatterplot-61', 'scatterplot-20', 'scatterplot-86', 'scatterplot-64', 'scatterplot-28', 'scatterplot-60', 'scatterplot-40', 'scatterplot-12']",scatterplot-86,5.213639999999998
18,3,smallMultiples,1,6,scatterplot-64;,"['scatterplot-30', 'scatterplot-61', 'scatterplot-20', 'scatterplot-86', 'scatterplot-64', 'scatterplot-28', 'scatterplot-60', 'scatterplot-40', 'scatterplot-12']",scatterplot-86,8.994249999999994
