"","pID","condition","interaction","trial","attempt","selectedVideos","videos"
"99",21,6,"smallMultiples",1,2,"scatterplot-12;","scatterplot-4;scatterplot-61;scatterplot-12;scatterplot-94;scatterplot-95;scatterplot-16;scatterplot-65;scatterplot-44;scatterplot-64;"
"100",21,6,"smallMultiples",1,3,"scatterplot-16;","scatterplot-4;scatterplot-61;scatterplot-12;scatterplot-94;scatterplot-95;scatterplot-16;scatterplot-65;scatterplot-44;scatterplot-64;"
"101",21,6,"smallMultiples",2,1,"scatterplot-82;","scatterplot-78;scatterplot-81;scatterplot-82;scatterplot-35;scatterplot-58;scatterplot-25;scatterplot-61;scatterplot-68;scatterplot-46;"
"102",21,6,"smallMultiples",2,2,"scatterplot-25;","scatterplot-78;scatterplot-81;scatterplot-82;scatterplot-35;scatterplot-58;scatterplot-25;scatterplot-61;scatterplot-68;scatterplot-46;"
"103",21,6,"smallMultiples",2,3,"scatterplot-46;","scatterplot-78;scatterplot-81;scatterplot-82;scatterplot-35;scatterplot-58;scatterplot-25;scatterplot-61;scatterplot-68;scatterplot-46;"
"104",27,5,"overlays",0,1,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"105",27,5,"overlays",1,1,"scatterplot-5;","scatterplot-87;scatterplot-26;scatterplot-10;scatterplot-95;scatterplot-33;scatterplot-5;scatterplot-29;scatterplot-72;scatterplot-39;"
"106",27,5,"overlays",2,1,"scatterplot-70;","scatterplot-26;scatterplot-12;scatterplot-30;scatterplot-88;scatterplot-78;scatterplot-10;scatterplot-65;scatterplot-35;scatterplot-70;"
"107",27,5,"shadowMarkers",0,1,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"108",27,5,"shadowMarkers",1,1,"scatterplot-45;","scatterplot-87;scatterplot-95;scatterplot-81;scatterplot-17;scatterplot-45;scatterplot-44;scatterplot-69;scatterplot-19;scatterplot-1;"
"109",27,5,"shadowMarkers",2,1,"scatterplot-91;","scatterplot-92;scatterplot-82;scatterplot-28;scatterplot-23;scatterplot-81;scatterplot-87;scatterplot-91;scatterplot-21;scatterplot-6;"
"110",27,5,"smallMultiples",0,1,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"111",27,5,"smallMultiples",1,1,"scatterplot-29;","scatterplot-1;scatterplot-95;scatterplot-68;scatterplot-70;scatterplot-24;scatterplot-29;scatterplot-6;scatterplot-28;scatterplot-33;"
"112",27,5,"smallMultiples",1,2,"scatterplot-95;","scatterplot-1;scatterplot-95;scatterplot-68;scatterplot-70;scatterplot-24;scatterplot-29;scatterplot-6;scatterplot-28;scatterplot-33;"
"113",27,5,"smallMultiples",1,3,"scatterplot-28;","scatterplot-1;scatterplot-95;scatterplot-68;scatterplot-70;scatterplot-24;scatterplot-29;scatterplot-6;scatterplot-28;scatterplot-33;"
"114",27,5,"smallMultiples",1,4,"scatterplot-70;","scatterplot-1;scatterplot-95;scatterplot-68;scatterplot-70;scatterplot-24;scatterplot-29;scatterplot-6;scatterplot-28;scatterplot-33;"
"115",27,5,"smallMultiples",2,1,"scatterplot-45;","scatterplot-29;scatterplot-90;scatterplot-87;scatterplot-65;scatterplot-89;scatterplot-17;scatterplot-4;scatterplot-45;scatterplot-28;"
"116",29,4,"overlays",0,1,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"117",29,4,"overlays",1,1,"scatterplot-91;","scatterplot-29;scatterplot-28;scatterplot-1;scatterplot-38;scatterplot-91;scatterplot-72;scatterplot-90;scatterplot-24;scatterplot-78;"
"118",29,4,"overlays",2,1,"scatterplot-7;","scatterplot-30;scatterplot-72;scatterplot-87;scatterplot-94;scatterplot-77;scatterplot-17;scatterplot-7;scatterplot-79;scatterplot-89;"
